qid,Lde,Len,Lfr,Les,Dde,Den,Dfr,Des,P48,P2,P47,P153
,"""München, Augsburgerstraße 21""","""Munich, Augsburgerstraße 21""","""Munich, Augsburgerstraße 21""","""Múnich, Augsburgerstraße 21""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1315805/11.563995650753,Q16200,Q10427,"""Augsburgerstraße 21"""
,"""München, Am Glockenbach 12""","""Munich, Am Glockenbach 12""","""Munich, Am Glockenbach 12""","""Múnich, Am Glockenbach 12""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1260392/11.5674826,Q16200,Q10427,"""Am Glockenbach 12"""
,"""München, Reisingerstraße""","""Munich, Reisingerstraße""","""Munich, Reisingerstraße""","""Múnich, Reisingerstraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1317288/11.5630693,Q16200,Q10427,"""Reisingerstraße"""
,"""München, Reichenbachstraße 4""","""Munich, Reichenbachstraße 4""","""Munich, Reichenbachstraße 4""","""Múnich, Reichenbachstraße 4""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1335757/11.5762753,Q16200,Q10427,"""Reichenbachstraße 4"""
,"""München, Klenzestraße 47""","""Munich, Klenzestraße 47""","""Munich, Klenzestraße 47""","""Múnich, Klenzestraße 47""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1302118/11.5738333,Q16200,Q10427,"""Klenzestraße 47"""
,"""München, Blumenstraße 15""","""Munich, Blumenstraße 15""","""Munich, Blumenstraße 15""","""Múnich, Blumenstraße 15""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1330828/11.5732442,Q16200,Q10427,"""Blumenstraße 15"""
,"""München, Isartorplatz""","""Munich, Isartorplatz""","""Munich, Isartorplatz""","""Múnich, Isartorplatz""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1342912/11.5833795,Q16200,Q10427,"""Isartorplatz"""
,"""München, Jahnstraße 36""","""Munich, Jahnstraße 36""","""Munich, Jahnstraße 36""","""Múnich, Jahnstraße 36""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1278769/11.5691182,Q16200,Q10427,"""Jahnstraße 36"""
,"""München, Maximiliansplatz""","""Munich, Maximiliansplatz""","""Munich, Maximiliansplatz""","""Múnich, Maximiliansplatz""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1432465/11.5736515,Q16200,Q10427,"""Maximiliansplatz"""
,"""München, Dachauerstraße 68""","""Munich, Dachauerstraße 68""","""Munich, Dachauerstraße 68""","""Múnich, Dachauerstraße 68""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1871791/11.5042874,Q16200,Q10427,"""Dachauerstraße 68"""
,"""München, Gollierstraße 5""","""Munich, Gollierstraße 5""","""Munich, Gollierstraße 5""","""Múnich, Gollierstraße 5""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1355569/11.5465428012965,Q16200,Q10427,"""Gollierstraße 5"""
,"""München, Klenzestraße""","""Munich, Klenzestraße""","""Munich, Klenzestraße""","""Múnich, Klenzestraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1326886/11.5776021,Q16200,Q10427,"""Klenzestraße"""
