CREATE		
LAST	Lde	"Gundula Ludwig"
LAST	Len	"Gundula Ludwig"
LAST	Lfr	"Gundula Ludwig"
LAST	Les	"Gundula Ludwig"
LAST	Dde	"Politikwissenschaftlerin und Hochschullehrerin"
LAST	Den	"researcher"
LAST	Des	"investigador"
LAST	Dfr	"chercheur"
LAST	Sdewiki	"Gundula Ludwig"
LAST	Swikidatawiki	"Q96057099"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_100"
CREATE		
LAST	Lde	"Ihloff"
LAST	Len	"Ihloff"
LAST	Lfr	"Ihloff"
LAST	Les	"Ihloff"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1000"
CREATE		
LAST	Lde	"Raoul Hübner"
LAST	Len	"Raoul Hübner"
LAST	Lfr	"Raoul Hübner"
LAST	Les	"Raoul Hübner"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	Swikidatawiki	"Q95286755"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1001"
CREATE		
LAST	Lde	"Ingrid Steinmeister"
LAST	Len	"Ingrid Steinmeister"
LAST	Lfr	"Ingrid Steinmeister"
LAST	Les	"Ingrid Steinmeister"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1002"
CREATE		
LAST	Lde	"Hans Günther Pflaum"
LAST	Len	"Hans Günther Pflaum"
LAST	Lfr	"Hans Günther Pflaum"
LAST	Les	"Hans Günther Pflaum"
LAST	Dde	"deutscher Filmkritiker und Autor von Filmliteratur"
LAST	Den	"German film critic and author of film literature"
LAST	Des	"Crítico de cine alemán y autor de literatura cinematográfica"
LAST	Dfr	"critique de cinéma allemand et auteur de littérature cinématographique"
LAST	Sdewiki	"Hans Günther Pflaum"
LAST	Swikidatawiki	"Q93307288"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"136286259"
LAST	P728	"book_author_1003"
CREATE		
LAST	Lde	"Chris Hirte"
LAST	Len	"Chris Hirte"
LAST	Lfr	"Chris Hirte"
LAST	Les	"Chris Hirte"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	Swikidatawiki	"Q95326838"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1004"
CREATE		
LAST	Lde	"Janet Malcolm"
LAST	Len	"Janet Malcolm"
LAST	Lfr	"Janet Malcolm"
LAST	Les	"Janet Malcolm"
LAST	Dde	"Amerikanische Journalistin (u. a. The New Yorker)"
LAST	Den	"American journalist (1934–2021)"
LAST	Des	"periodista estadounidense"
LAST	Dfr	"journaliste américaine"
LAST	Sdewiki	"Janet Malcolm"
LAST	Senwiki	"Janet Malcolm"
LAST	Seswiki	"Janet Malcolm"
LAST	Swikidatawiki	"Q6153486"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
